,HOUSEHOLD_ID,HOUSEHOLD_CLAIMED_FAMILY_SIZE,HOUSEHOLD_REGISTRATION_DATE,HOUSEHOLD_REGISTRATION_USER_ID,HOUSEHOLD_REFUGEE_STATUS,HOUSEHOLD_INACTIVE_REASON,LOCATION_ID,LOCATION_TYPE_ID,LOCATION_TYPE_DESC,ADMIN_AREA_ID
1,549576,1,2015-11-12,1950,RESIDENT,,102166,,,104691
2,549574,1,2015-11-12,1950,RESIDENT,,102166,,,104691
3,549572,1,2015-11-12,1950,RESIDENT,,102166,,,104691
4,549545,1,2015-11-12,1950,RESIDENT,,102166,,,104691
5,549544,1,2015-11-12,1950,RESIDENT,,102166,,,104691
6,549541,1,2015-11-12,1950,RESIDENT,,102166,,,104691
7,549539,1,2015-11-12,1950,RESIDENT,,102166,,,104691
8,549537,1,2015-11-12,1950,RESIDENT,,102166,,,104691
9,549535,1,2015-11-12,1950,RESIDENT,,102166,,,104691
10,728705,1,2015-12-13,1502,RESIDENT,,102166,,,104691
12,549529,1,2015-11-12,1950,RESIDENT,,102166,,,104691
13,549527,1,2015-11-12,1950,RESIDENT,,102166,,,104691
14,549525,1,2015-11-12,1950,RESIDENT,,102166,,,104691
15,549861,1,2015-11-12,1950,RESIDENT,,102166,,,104691
16,549578,1,2015-11-12,1950,RESIDENT,,102166,,,104691
17,549855,1,2015-11-12,1950,RESIDENT,,102166,,,104691
18,549857,1,2015-11-12,1950,RESIDENT,,102166,,,104691
19,549868,1,2015-11-12,1950,RESIDENT,,102166,,,104691
20,549870,1,2015-11-12,1950,RESIDENT,,102166,,,104691
21,549872,1,2015-11-12,1950,RESIDENT,,102166,,,104691
22,547088,1,2015-11-12,1950,RESIDENT,,102206,,,104745
23,547086,1,2015-11-12,1950,RESIDENT,,102206,,,104745
24,547084,1,2015-11-12,1950,RESIDENT,,102206,,,104745
25,547082,1,2015-11-12,1950,RESIDENT,,102206,,,104745
26,547049,1,2015-11-12,1950,RESIDENT,,102206,,,104745
28,547240,1,2015-11-12,1950,RESIDENT,,102206,,,104745
29,547265,1,2015-11-12,1950,RESIDENT,,102206,,,104745
30,547267,1,2015-11-12,1950,RESIDENT,,102206,,,104745
31,547268,1,2015-11-12,1950,RESIDENT,,102206,,,104745
32,547272,1,2015-11-12,1950,RESIDENT,,102206,,,104745
